Date,Duration_hr,Duration_min,Duration_sec,Likes,Comments
1/1/19,0,0,0,11,0
1/2/19,0,0,0,11,0
1/3/19,0,0,0,15,0
1/4/19,0,0,0,26,0
1/5/19,0,0,0,23,1
1/6/19,0,0,0,23,0
1/7/19,0,0,0,25,0
1/8/19,0,0,0,24,0
1/9/19,0,0,0,23,0
1/10/19,0,0,0,19,2
1/11/19,0,0,0,26,0
1/12/19,0,0,0,16,0
1/13/19,0,0,0,22,0
1/14/19,0,0,0,16,1
1/15/19,0,0,0,27,1
1/16/19,0,0,0,19,0
1/17/19,0,0,0,21,0
1/18/19,0,0,0,21,0
1/19/19,0,0,0,16,0
1/20/19,0,0,0,16,0
1/21/19,0,0,0,15,0
1/22/19,0,0,0,21,0
1/23/19,0,0,0,22,0
1/24/19,0,0,0,20,0
1/25/19,0,0,0,20,0
1/26/19,0,0,0,15,0
1/27/19,0,0,0,21,0
1/28/19,0,0,0,20,0
1/29/19,0,0,0,19,0
1/30/19,0,0,0,25,0
1/31/19,0,0,0,25,0
2/1/19,0,0,0,20,0
2/2/19,0,0,0,18,0
2/3/19,0,0,0,15,0
2/4/19,0,0,0,16,2
2/5/19,0,0,0,13,0
2/6/19,0,33,38,19,0
2/7/19,0,0,0,22,1
2/8/19,1,18,2,28,0
2/9/19,0,53,20,29,0
2/10/19,0,0,0,23,0
2/11/19,1,27,43,25,0
2/12/19,0,28,37,15,1
2/13/19,2,49,32,24,0
2/14/19,0,40,17,19,0
2/15/19,0,48,7,19,0
2/16/19,0,0,0,26,0
2/17/19,0,46,41,17,1
2/18/19,0,35,0,25,0
2/19/19,0,0,0,29,4
2/20/19,0,28,14,14,0
2/21/19,0,0,0,23,3
2/22/19,0,0,0,23,0
2/23/19,0,19,28,18,0
2/24/19,0,29,54,17,0
2/25/19,0,31,8,23,0
2/26/19,0,0,0,15,0
2/27/19,2,32,27,20,0
2/28/19,0,19,0,23,0
3/1/19,0,0,0,18,0
3/2/19,0,37,7,23,0
3/3/19,0,26,14,21,0
3/4/19,0,0,0,18,0
3/5/19,0,39,1,24,0
3/6/19,0,31,0,22,0
3/7/19,0,19,31,17,0
3/8/19,0,0,0,16,0
3/9/19,0,0,0,22,0
3/10/19,0,0,0,21,1
3/11/19,0,23,33,17,0
3/12/19,0,25,1,17,0
3/13/19,2,14,30,21,0
3/14/19,0,0,0,16,0
3/15/19,0,29,34,22,0
3/16/19,0,0,0,14,1
3/17/19,0,29,9,18,0
3/18/19,0,28,17,18,0
3/19/19,0,0,0,18,0
3/20/19,0,0,0,20,0
3/21/19,0,0,0,23,0
3/22/19,0,0,0,23,0
3/23/19,0,0,0,17,0
3/24/19,0,0,0,19,0
3/25/19,0,0,0,14,0
3/26/19,0,38,28,21,0
3/27/19,0,25,45,18,0
3/28/19,0,28,31,13,1
3/29/19,0,28,4,26,1
3/30/19,0,30,50,17,0
3/31/19,0,0,0,21,2
4/1/19,0,36,31,21,0
4/2/19,0,35,4,23,0
4/3/19,0,18,2,18,0
4/4/19,0,23,56,21,0
4/5/19,0,30,0,22,0
4/6/19,0,23,56,18,0
4/7/19,0,20,58,27,3
4/8/19,0,30,37,29,3
4/9/19,0,20,14,21,0
4/10/19,1,30,24,36,6
