Date,Likes,Views,Comments
6/1/19,40,115,1
6/2/19,31,83,0
6/3/19,19,69,0
6/4/19,31,88,4
6/5/19,28,100,1
6/6/19,26,74,0
6/7/19,32,84,1
6/8/19,32,78,0
6/9/19,23,66,0
6/10/19,30,62,0
6/11/19,35,87,0
6/12/19,26,61,0
6/13/19,31,64,3
6/14/19,29,60,1
6/15/19,21,76,0
6/16/19,26,62,0
6/17/19,29,51,0
6/18/19,31,78,3
6/19/19,28,75,0
6/20/19,39,65,2
6/21/19,23,59,0
6/22/19,24,62,0
6/23/19,20,53,0
6/24/19,28,71,0
6/25/19,25,70,2
6/26/19,28,75,0
6/27/19,35,69,0
6/28/19,27,59,0
6/29/19,18,55,0
6/30/19,37,66,0
7/1/19,30,74,0
7/2/19,26,53,0
7/3/19,31,93,2
7/4/19,40,99,1
7/5/19,37,74,1
7/6/19,35,65,1
7/7/19,30,54,0
7/8/19,28,53,0
7/9/19,27,56,0
7/10/19,32,62,0
7/11/19,24,50,3
7/12/19,23,43,0
7/13/19,30,51,0
7/14/19,32,65,0
7/15/19,24,47,0
7/16/19,28,44,0
7/17/19,27,37,0
7/18/19,30,55,0
7/19/19,26,51,0
7/20/19,30,48,0
7/21/19,27,49,0
7/22/19,27,48,0
7/23/19,25,48,0
7/24/19,30,67,0
7/25/19,28,51,1
7/26/19,37,146,1
7/27/19,31,83,3
7/28/19,28,43,0
7/29/19,22,55,0
7/30/19,31,64,0
7/31/19,30,72,0
8/1/19,23,68,0
8/2/19,29,72,0
8/3/19,30,67,0
8/4/19,26,72,0
8/5/19,45,170,1
8/6/19,44,179,3
8/7/19,34,76,0
8/8/19,36,100,2
8/9/19,40,66,0
8/10/19,31,61,0
8/11/19,23,61,1
8/12/19,63,181,3
8/13/19,46,98,0
8/14/19,38,169,1
8/15/19,27,63,0
8/16/19,36,98,2
8/17/19,56,120,2
8/18/19,19,68,0
8/19/19,34,98,1
8/20/19,24,83,1
8/21/19,53,181,2
8/22/19,30,67,2
8/23/19,57,151,2
8/24/19,25,58,0
8/25/19,54,180,1
8/26/19,23,66,0
8/27/19,22,62,1
8/28/19,37,60,0
8/29/19,31,53,0
8/30/19,26,75,0
8/31/19,48,105,1
9/1/19,24,45,0
9/2/19,40,151,1
9/3/19,34,53,2
9/4/19,27,59,0
9/5/19,31,62,0
9/6/19,28,52,0
9/7/19,44,121,0
9/8/19,94,412,16
